Order_ID,Order_DateTime,Revenue
1,2024-01-01 08:30:00,150
2,2024-01-02 09:00:00,200
3,2024-01-02 14:15:00,250
4,2024-01-03 16:30:00,300
5,2024-01-03 19:45:00,350
6,2024-01-04 10:30:00,180
7,2024-01-05 12:00:00,220
8,2024-01-06 09:15:00,270
9,2024-01-07 11:30:00,310
10,2024-01-08 13:45:00,360
11,2024-01-09 15:00:00,400
12,2024-01-10 17:30:00,450
13,2024-01-11 08:00:00,500
14,2024-01-12 09:45:00,550
15,2024-01-13 10:30:00,600
16,2024-01-14 14:15:00,650
17,2024-01-15 15:30:00,700
18,2024-01-16 18:00:00,750
19,2024-01-17 08:15:00,800
20,2024-01-18 09:00:00,850
21,2024-01-19 10:30:00,900
22,2024-01-20 12:45:00,950
23,2024-01-21 13:00:00,1000
24,2024-01-22 14:15:00,1050
25,2024-01-23 16:30:00,1100
26,2024-01-24 17:00:00,1150
27,2024-01-25 18:45:00,1200
28,2024-01-26 09:30:00,1250
29,2024-01-27 10:00:00,1300
30,2024-01-28 14:30:00,1350
31,2024-01-29 15:15:00,1400
32,2024-01-30 17:00:00,1450
33,2024-02-01 08:45:00,1500
34,2024-02-02 09:30:00,1550
35,2024-02-03 10:15:00,1600
36,2024-02-04 11:00:00,1650
37,2024-02-05 13:30:00,1700
38,2024-02-06 14:45:00,1750
39,2024-02-07 16:00:00,1800
40,2024-02-08 17:30:00,1850
